IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
104.29.59.95,443,443,TRUE,香港1,Asia Pacific,Hongkong,78,20.71
104.29.69.24,443,443,TRUE,香港2,Asia Pacific,Hongkong,142,21.71
104.29.69.41,443,443,TRUE,香港3,Asia Pacific,Hongkong,81,22.71
104.29.67.97,443,443,TRUE,香港4,Asia Pacific,Hongkong,112,23.71
104.29.59.158,443,443,TRUE,香港5,Asia Pacific,Hongkong,78,24.71
104.29.59.39,443,443,TRUE,香港6,Asia Pacific,Hongkong,128,25.71
104.29.69.44,443,443,TRUE,香港7,Asia Pacific,Hongkong,109,26.71
104.29.69.156,443,443,TRUE,香港8,Europe,Hongkong,164,27.71
104.29.68.48,443,443,TRUE,香港9,Asia Pacific,Hongkong,101,28.71
104.29.68.70,443,443,TRUE,香港10,Asia Pacific,Hongkong,77,29.71
104.29.67.56,443,443,TRUE,香港11,Asia Pacific,Hongkong,77,29.71
104.29.69.57,443,443,TRUE,香港12,Asia Pacific,Hongkong,77,29.71
104.29.69.150,443,443,TRUE,香港13,Asia Pacific,Hongkong,77,29.71
104.29.69.77,443,443,TRUE,香港14,Asia Pacific,Hongkong,77,29.71
172.67.64.166,443,443,TRUE,香港16,Asia Pacific,Hongkong,77,29.71
38.207.130.236,443,443,TRUE,日本A1,Asia Pacific,Tokyo,78,20.71
128.22.132.227,443,443,TRUE,日本A2,Asia Pacific,Tokyo,142,21.71
168.138.52.13,443,443,TRUE,日本A3,Asia Pacific,Tokyo,81,22.71
